Yard,Colony,Reader,FrameType,Bees,Brood,Honey,TimePoint
Pond,P7,Jennifer,Deep,6.3,3.9,1.5,0
Pond,P10,Jennifer,Deep,7.8,4.2,6.8,0
Pond,P12,Jennifer,Deep,15.2,6.1,20,0
Pond,P14,Jennifer,Deep,5.1,2.5,20.8,0
Pond,P7,Jennifer,Shallow,10.3,3.9,20.5,0
Pond,P10,Jennifer,Shallow,12.9,1.2,15.6,0
Pond,P12,Jennifer,Shallow,0.6,0,0,0
Pond,P14,Jennifer,Shallow,2.6,0.5,9.7,0
Circle,C1,Jennifer,Deep,8.6,3.2,1.3,0
Circle,C2,Jennifer,Deep,11.1,5.2,2.5,0
Circle,C3,Jennifer,Deep,10.3,3.6,4.5,0
Circle,C4,Jennifer,Deep,7.1,3.2,0.6,0
Circle,C6,Jennifer,Deep,9.6,1.8,10.3,0
Circle,C7,Jennifer,Deep,6.4,3.2,6.8,0
Circle,C10,Jennifer,Deep,5.4,1.5,6.5,0
Circle,C11,Jennifer,Deep,1.6,0,6.6,0
Circle,C12,Jennifer,Deep,11.7,4.4,2.6,0
Circle,C13,Jennifer,Deep,5,2.1,3.8,0
Circle,C14,Jennifer,Deep,13.9,4.2,5.2,0
Circle,C15,Jennifer,Deep,12.6,8.2,3.3,0
Circle,C16,Jennifer,Deep,9.7,3.9,2.8,0
Circle,C17,Jennifer,Deep,12.6,3.9,15.2,0
Circle,C18,Jennifer,Deep,10.6,4.4,9,0
Circle,C19,Jennifer,Deep,11.7,4.4,2.1,0
Circle,C20,Jennifer,Deep,5.7,1.6,0,0
Circle,C21,Jennifer,Deep,7.5,1.9,1.8,0
Circle,C22,Jennifer,Deep,5.4,2.8,0,0
Circle,C1,Jennifer,Shallow,6.5,1.4,7.3,0
Circle,C2,Jennifer,Shallow,5.3,2,8.6,0
Circle,C3,Jennifer,Shallow,6.5,0.4,15.9,0
Circle,C4,Jennifer,Shallow,6,2.1,7.1,0
Circle,C10,Jennifer,Shallow,1.6,3.3,14.2,0
Circle,C11,Jennifer,Shallow,9.6,4.4,10.7,0
Circle,C12,Jennifer,Shallow,2.4,0.2,14.7,0
Circle,C6,Jennifer,Shallow,8.5,2.4,24.2,0
Circle,C21,Jennifer,Shallow,7.2,0.2,12,0
Circle,C22,Jennifer,Shallow,7.2,2.2,1.9,0
Circle,C5,Jennifer,Deep,4.8,2.1,8.4,0
Circle,C5,Jennifer,Shallow,4.9,0.9,16.0,0
Circle,C8,Jennifer,Deep,6.0,2.7,3.7,0
Circle,C9,Jennifer,Deep,6.1,2.9,5.8,0
Circle,C9,Jennifer,Shallow,7.7,2.9,0.0,0
Circle,P4,Jennifer,Deep,26.1,4.9,23.0,0
